college,state_code,state_name,region,division,public_or_private,number_applications_received,number_applications_accepted,number_applications_not_accepted,percentage_applications_accepted,number_new_students_enrolled,percentage_new_students_from_top_10,percentage_new_students_from_top_25,number_ft_undergrad,number_pt_undergrad,in_state_tuition,out_of_state_tuition,room,board,additional_fees,estimated_book_costs,estimated_personal_spending,percentage_faculty_with_phd,student_faculty_ratio,graduation_rate
Idaho State University,ID,Idaho,West,Mountain,public,1989.0,1627.0,362.0,81.8,1137.0,,40.0,6547.0,2464.0,,4500.0,,,1500.0,500.0,1575.0,67.0,16.5,33.0
Lewis-Clark State College,ID,Idaho,West,Mountain,public,1001.0,551.0,450.0,55.04,428.0,,,1970.0,1256.0,1412.0,5120.0,,,,908.0,1721.0,60.0,12.1,44.0
Northwest Nazarene College,ID,Idaho,West,Mountain,private,616.0,514.0,102.0,83.44,385.0,29.0,52.0,1115.0,60.0,9840.0,9840.0,1680.0,1140.0,339.0,450.0,822.0,59.0,14.8,58.0
University of Idaho,ID,Idaho,West,Mountain,public,3133.0,2799.0,334.0,89.34,1337.0,24.0,49.0,7242.0,1431.0,1548.0,5962.0,,,,832.0,,82.0,13.5,45.0
Augustana College,IL,Illinois,Midwest,East North Central,private,1879.0,1658.0,221.0,88.24,497.0,36.0,69.0,1950.0,38.0,13353.0,13353.0,1622.0,1622.0,93.0,540.0,821.0,78.0,12.7,71.0
Aurora University,IL,Illinois,Midwest,East North Central,private,532.0,481.0,51.0,90.41,127.0,,,815.0,801.0,10250.0,10250.0,,,70.0,550.0,,,9.1,56.0
Barat College,IL,Illinois,Midwest,East North Central,private,261.0,192.0,69.0,73.56,111.0,15.0,36.0,453.0,266.0,9690.0,9690.0,4300.0,,140.0,500.0,500.0,57.0,9.7,71.0
Blackburn College,IL,Illinois,Midwest,East North Central,private,500.0,336.0,164.0,67.2,156.0,25.0,55.0,421.0,27.0,6500.0,6500.0,,,,500.0,1000.0,76.0,14.3,51.0
Bradley University,IL,Illinois,Midwest,East North Central,private,3767.0,3414.0,353.0,90.63,1061.0,30.0,58.0,4531.0,643.0,10870.0,10870.0,2540.0,,80.0,2000.0,1522.0,75.0,14.4,85.0
College of Saint Francis,IL,Illinois,Midwest,East North Central,private,422.0,305.0,117.0,72.27,160.0,30.0,56.0,781.0,240.0,9810.0,9810.0,4160.0,,180.0,400.0,,52.0,17.5,80.0
Columbia College,IL,Illinois,Midwest,East North Central,private,2419.0,2160.0,259.0,89.29,1117.0,,,4852.0,1991.0,7310.0,7310.0,,4350.0,80.0,500.0,1612.0,18.0,13.4,41.0
Concordia University,IL,Illinois,Midwest,East North Central,private,528.0,403.0,125.0,76.33,186.0,22.0,56.0,1168.0,145.0,9216.0,9216.0,4191.0,,80.0,400.0,1000.0,56.0,12.1,75.0
DePaul University,IL,Illinois,Midwest,East North Central,private,4815.0,3551.0,1264.0,73.75,1227.0,30.0,58.0,6069.0,3719.0,11214.0,11214.0,1479.0,3453.0,30.0,600.0,,69.0,16.1,63.0
Eastern Illinois University,IL,Illinois,Midwest,East North Central,public,5597.0,4253.0,1344.0,75.99,1565.0,12.0,38.0,9161.0,845.0,1902.0,5710.0,,,782.0,120.0,1730.0,62.0,16.2,76.0
Eureka College,IL,Illinois,Midwest,East North Central,private,560.0,454.0,106.0,81.07,113.0,36.0,56.0,484.0,16.0,10955.0,10955.0,1915.0,1535.0,150.0,330.0,670.0,62.0,10.6,53.0
Greenville College,IL,Illinois,Midwest,East North Central,private,510.0,387.0,123.0,75.88,194.0,20.0,46.0,771.0,53.0,10310.0,10310.0,,,,400.0,800.0,57.0,14.3,60.0
Illinois College,IL,Illinois,Midwest,East North Central,private,894.0,787.0,107.0,88.03,262.0,28.0,63.0,909.0,28.0,8050.0,8050.0,,,,600.0,1000.0,75.0,15.6,52.0
Illinois Institute of Technology,IL,Illinois,Midwest,East North Central,private,1756.0,1360.0,396.0,77.45,478.0,42.0,77.0,1911.0,626.0,14550.0,14550.0,,,40.0,500.0,700.0,80.0,12.3,56.0
Illinois State University,IL,Illinois,Midwest,East North Central,public,8681.0,6695.0,1986.0,77.12,2408.0,10.0,35.0,15701.0,1823.0,2600.0,7799.0,3403.0,,815.0,537.0,2605.0,77.0,21.0,54.0
Northeastern Illinois University,IL,Illinois,Midwest,East North Central,public,2086.0,1507.0,579.0,72.24,631.0,14.0,27.0,4056.0,3433.0,1902.0,5706.0,,,236.0,552.0,2178.0,78.0,15.1,21.0
Chicago State University,IL,Illinois,Midwest,East North Central,public,3553.0,1719.0,1834.0,48.38,777.0,12.0,37.0,4543.0,2694.0,1848.0,5544.0,,,350.0,650.0,2400.0,47.0,15.6,18.0
Illinois Wesleyan University,IL,Illinois,Midwest,East North Central,private,3050.0,1342.0,1708.0,44.0,471.0,55.0,86.0,1818.0,23.0,14360.0,14360.0,1760.0,2330.0,125.0,400.0,650.0,77.0,12.9,83.0
Judson College,IL,Illinois,Midwest,East North Central,private,313.0,228.0,85.0,72.84,137.0,10.0,30.0,552.0,67.0,9414.0,9414.0,,,400.0,500.0,1700.0,34.0,10.6,56.0
Kendall College,IL,Illinois,Midwest,East North Central,private,150.0,150.0,0.0,100.0,121.0,15.0,15.0,338.0,33.0,6900.0,6900.0,4851.0,,165.0,800.0,1500.0,24.0,15.9,80.0
Knox College,IL,Illinois,Midwest,East North Central,private,1040.0,845.0,195.0,81.25,286.0,48.0,77.0,967.0,24.0,15747.0,15747.0,1806.0,2256.0,186.0,400.0,800.0,88.0,12.7,79.0
Lake Forest College,IL,Illinois,Midwest,East North Central,private,979.0,638.0,341.0,65.17,271.0,31.0,70.0,968.0,20.0,16880.0,16880.0,1740.0,2230.0,230.0,920.0,1320.0,91.0,10.7,77.0
Lewis University,IL,Illinois,Midwest,East North Central,private,1154.0,1050.0,104.0,90.99,395.0,12.0,31.0,2192.0,1423.0,10560.0,10560.0,2030.0,2490.0,,500.0,1200.0,36.0,14.3,61.0
Loyola University Chicago,IL,Illinois,Midwest,East North Central,private,3579.0,2959.0,620.0,82.68,868.0,25.0,55.0,5244.0,3417.0,11500.0,11500.0,,,350.0,700.0,2000.0,94.0,6.2,65.0
MacMurray College,IL,Illinois,Midwest,East North Central,private,740.0,558.0,182.0,75.41,177.0,12.0,29.0,628.0,63.0,9620.0,9620.0,2050.0,1700.0,,550.0,950.0,49.0,10.8,59.0
McKendree College,IL,Illinois,Midwest,East North Central,private,1002.0,555.0,447.0,55.39,119.0,16.0,43.0,836.0,684.0,7680.0,7680.0,1820.0,1920.0,135.0,500.0,800.0,70.0,17.7,52.0
Millikin University,IL,Illinois,Midwest,East North Central,private,1444.0,1261.0,183.0,87.33,456.0,29.0,62.0,1788.0,95.0,11910.0,11910.0,,,91.0,450.0,965.0,60.0,11.4,75.0
Monmouth College,IL,Illinois,Midwest,East North Central,private,601.0,503.0,98.0,83.69,204.0,28.0,57.0,671.0,11.0,13000.0,13000.0,2100.0,2000.0,200.0,400.0,460.0,91.0,11.6,56.0
National-Louis University,IL,Illinois,Midwest,East North Central,private,513.0,347.0,166.0,67.64,279.0,23.0,48.0,2508.0,505.0,9090.0,9090.0,4500.0,,,650.0,500.0,62.0,18.3,71.0
North Central College,IL,Illinois,Midwest,East North Central,private,1127.0,884.0,243.0,78.44,308.0,30.0,64.0,1310.0,766.0,11718.0,11718.0,,,120.0,450.0,1800.0,73.0,16.4,76.0
North Park College,IL,Illinois,Midwest,East North Central,private,465.0,361.0,104.0,77.63,176.0,19.0,39.0,879.0,156.0,12580.0,12580.0,2390.0,1955.0,,400.0,970.0,76.0,13.1,74.0
Northern Illinois University,IL,Illinois,Midwest,East North Central,public,10706.0,7219.0,3487.0,67.43,2397.0,12.0,37.0,14826.0,1979.0,2600.0,7799.0,3296.0,,950.0,470.0,1750.0,73.0,17.3,56.0
Northwestern University,IL,Illinois,Midwest,East North Central,private,12289.0,5200.0,7089.0,42.31,1902.0,85.0,98.0,7450.0,45.0,16404.0,16404.0,,,,759.0,1585.0,96.0,6.8,92.0
Olivet Nazarene University,IL,Illinois,Midwest,East North Central,private,678.0,640.0,38.0,94.4,388.0,,58.0,1503.0,293.0,7700.0,7700.0,4140.0,,136.0,,,39.0,14.6,54.0
Principia College,IL,Illinois,Midwest,East North Central,private,205.0,179.0,26.0,87.32,129.0,13.0,45.0,570.0,22.0,12816.0,12816.0,2634.0,2710.0,210.0,1125.0,2000.0,,9.6,90.0
Quincy University,IL,Illinois,Midwest,East North Central,private,1025.0,707.0,318.0,68.98,297.0,22.0,66.0,1070.0,72.0,10100.0,10100.0,1750.0,2390.0,210.0,450.0,1080.0,69.0,16.3,80.0
Rockford College,IL,Illinois,Midwest,East North Central,private,591.0,505.0,86.0,85.45,196.0,15.0,37.0,907.0,364.0,12305.0,12305.0,4066.0,,,800.0,1940.0,57.0,12.3,
Roosevelt University,IL,Illinois,Midwest,East North Central,private,422.0,367.0,55.0,86.97,218.0,13.0,40.0,1700.0,2902.0,8580.0,8580.0,5100.0,,80.0,600.0,,75.0,12.2,77.0
Rosary College,IL,Illinois,Midwest,East North Central,private,434.0,321.0,113.0,73.96,141.0,28.0,53.0,624.0,269.0,10950.0,10950.0,,,95.0,550.0,950.0,79.0,12.9,81.0
Southern Illinois University at Carbondale,IL,Illinois,Midwest,East North Central,public,,,,,2158.0,,,16961.0,2499.0,2318.0,6953.0,1920.0,1336.0,864.0,600.0,2608.0,71.0,14.9,44.0
Southern Illinois University at Edwardsville,IL,Illinois,Midwest,East North Central,public,2540.0,2195.0,345.0,86.42,994.0,13.0,40.0,6063.0,2550.0,1824.0,5472.0,1570.0,2028.0,488.0,221.0,2216.0,76.0,16.5,43.0
Illinois Benedictine College,IL,Illinois,Midwest,East North Central,private,607.0,558.0,49.0,91.93,269.0,22.0,47.0,1222.0,519.0,10500.0,10500.0,,,150.0,650.0,1500.0,81.0,11.6,75.0
Saint Xavier University,IL,Illinois,Midwest,East North Central,private,785.0,647.0,138.0,82.42,295.0,15.0,65.0,1670.0,726.0,10860.0,10860.0,2666.0,1958.0,110.0,600.0,794.0,87.0,13.7,55.0
Trinity College,IL,Illinois,Midwest,East North Central,private,746.0,473.0,273.0,63.4,317.0,39.0,82.0,834.0,50.0,9600.0,9600.0,2030.0,2080.0,75.0,600.0,1300.0,54.0,21.9,28.0
University of Chicago,IL,Illinois,Midwest,East North Central,private,6348.0,2999.0,3349.0,47.24,922.0,68.0,94.0,3340.0,39.0,18930.0,18930.0,3070.0,3310.0,486.0,500.0,1254.0,99.0,5.3,90.0
University of Illinois - Urbana,IL,Illinois,Midwest,East North Central,public,14939.0,11652.0,3287.0,78.0,5705.0,52.0,88.0,25422.0,911.0,2760.0,7560.0,1780.0,2794.0,920.0,500.0,1982.0,87.0,17.4,81.0
University of Illinois at Chicago,IL,Illinois,Midwest,East North Central,public,8384.0,5727.0,2657.0,68.31,2710.0,22.0,50.0,13518.0,2916.0,2520.0,7230.0,3198.0,1890.0,1108.0,630.0,3228.0,82.0,10.0,34.0
Western Illinois University,IL,Illinois,Midwest,East North Central,public,6491.0,5027.0,1464.0,77.45,1563.0,6.0,24.0,9015.0,1449.0,1902.0,5706.0,1843.0,1350.0,705.0,600.0,1993.0,77.0,17.2,55.0
Wheaton College,IL,Illinois,Midwest,East North Central,private,1432.0,920.0,512.0,64.25,548.0,56.0,84.0,2200.0,56.0,11480.0,11480.0,2440.0,1760.0,,530.0,1400.0,81.0,12.7,85.0
Anderson University,IN,Indiana,Midwest,East North Central,private,1216.0,908.0,308.0,74.67,423.0,19.0,40.0,1819.0,281.0,10100.0,10100.0,1620.0,1900.0,200.0,550.0,1100.0,48.0,12.1,59.0
Ball State University,IN,Indiana,Midwest,East North Central,public,9361.0,7910.0,1451.0,84.5,3849.0,38.0,50.0,16148.0,2207.0,2864.0,7244.0,3608.0,,,500.0,1500.0,69.0,17.7,51.0
Bethel College,IN,Indiana,Midwest,East North Central,private,495.0,415.0,80.0,83.84,267.0,15.0,37.0,733.0,402.0,9300.0,9300.0,1300.0,1700.0,,500.0,,51.0,14.6,
Butler University,IN,Indiana,Midwest,East North Central,private,2362.0,2037.0,325.0,86.24,700.0,40.0,68.0,2607.0,148.0,13130.0,13130.0,2480.0,2170.0,65.0,500.0,1600.0,77.0,10.9,83.0
DePauw University,IN,Indiana,Midwest,East North Central,private,1994.0,1656.0,338.0,83.05,495.0,50.0,80.0,1983.0,36.0,14300.0,14300.0,2510.0,2510.0,200.0,550.0,950.0,78.0,11.1,82.0
Earlham College,IN,Indiana,Midwest,East North Central,private,1358.0,1006.0,352.0,74.08,274.0,35.0,63.0,1028.0,13.0,15036.0,15036.0,1899.0,2157.0,273.0,600.0,600.0,90.0,10.6,78.0
University of Evansville,IN,Indiana,Midwest,East North Central,private,2096.0,1626.0,470.0,77.58,694.0,35.0,67.0,2551.0,407.0,11800.0,11800.0,2520.0,1820.0,200.0,700.0,960.0,60.0,15.8,77.0
Franklin College,IN,Indiana,Midwest,East North Central,private,804.0,632.0,172.0,78.61,281.0,29.0,72.0,840.0,68.0,10390.0,10390.0,1790.0,2250.0,110.0,525.0,1345.0,54.0,12.5,60.0
Goshen College,IN,Indiana,Midwest,East North Central,private,440.0,396.0,44.0,90.0,221.0,26.0,51.0,910.0,166.0,9420.0,9420.0,1800.0,1930.0,,600.0,1230.0,51.0,9.9,72.0
Grace College and Seminary,IN,Indiana,Midwest,East North Central,private,548.0,428.0,120.0,78.1,167.0,18.0,46.0,618.0,113.0,8958.0,8958.0,1862.0,1956.0,,300.0,1000.0,53.0,15.3,64.0
Hanover College,IN,Indiana,Midwest,East North Central,private,1006.0,837.0,169.0,83.2,317.0,33.0,65.0,1024.0,15.0,8200.0,8200.0,1540.0,1945.0,350.0,500.0,1200.0,84.0,10.6,64.0
Huntington College,IN,Indiana,Midwest,East North Central,private,450.0,430.0,20.0,95.56,125.0,20.0,46.0,488.0,43.0,9950.0,9950.0,3920.0,,250.0,300.0,1300.0,76.0,11.8,47.0
University of Indianapolis,IN,Indiana,Midwest,East North Central,private,1487.0,1276.0,211.0,85.81,388.0,26.0,51.0,1417.0,1646.0,11120.0,11120.0,4080.0,,30.0,525.0,1405.0,55.0,11.1,69.0
Indiana Institute of Technology,IN,Indiana,Midwest,East North Central,private,1052.0,810.0,242.0,77.0,167.0,7.0,47.0,477.0,602.0,8120.0,8120.0,3790.0,,,,,40.0,15.4,
University of Southern Indiana,IN,Indiana,Midwest,East North Central,public,2379.0,2133.0,246.0,89.66,1292.0,8.0,25.0,4283.0,2973.0,2040.0,4973.0,1660.0,1532.0,20.0,500.0,1425.0,56.0,22.0,38.0
Indiana University at Bloomington,IN,Indiana,Midwest,East North Central,public,16587.0,13243.0,3344.0,79.84,5873.0,25.0,72.0,24763.0,2717.0,2984.0,9766.0,,,389.0,600.0,2000.0,77.0,21.3,68.0
Indiana Univ. East,IN,Indiana,Midwest,East North Central,public,814.0,814.0,0.0,100.0,616.0,6.0,24.0,988.0,1356.0,2369.0,6140.0,,,116.0,570.0,,52.0,13.8,24.0
Indiana Univ.-Purdue Univ. at Fort Wayne,IN,Indiana,Midwest,East North Central,public,2464.0,2306.0,158.0,93.59,1714.0,7.0,32.0,4981.0,5917.0,2090.0,5170.0,,,91.0,500.0,2000.0,67.0,16.0,41.0
Indiana Univ.-Purdue Univ. at Indianapolis,IN,Indiana,Midwest,East North Central,public,4630.0,3655.0,975.0,78.94,2301.0,5.0,27.0,9216.0,11176.0,2766.0,8490.0,,,212.0,600.0,2200.0,69.0,10.4,25.0
Indiana Univ. at Kokomo,IN,Indiana,Midwest,East North Central,public,1108.0,1086.0,22.0,98.01,723.0,4.0,26.0,1139.0,2070.0,2369.0,6140.0,,,90.0,660.0,,60.0,14.7,23.0
Indiana Univ. Northwest,IN,Indiana,Midwest,East North Central,public,1572.0,1241.0,331.0,78.94,907.0,5.0,18.0,2699.0,2611.0,2369.0,6140.0,,,96.0,500.0,,56.0,18.2,33.0
Indiana Univ. at South Bend,IN,Indiana,Midwest,East North Central,public,1500.0,1250.0,250.0,83.33,980.0,10.0,30.0,2761.0,3341.0,2412.0,6594.0,,,146.0,600.0,,69.0,14.4,33.0
Indiana Univ. Southeast,IN,Indiana,Midwest,East North Central,public,1265.0,1256.0,9.0,99.29,911.0,,,2728.0,2660.0,2369.0,6140.0,,,73.0,500.0,,76.0,16.7,33.0
Manchester College,IN,Indiana,Midwest,East North Central,private,1004.0,802.0,202.0,79.88,239.0,23.0,63.0,909.0,51.0,10440.0,10440.0,1960.0,1890.0,350.0,525.0,1450.0,63.0,11.8,64.0
Marian College,IN,Indiana,Midwest,East North Central,private,770.0,542.0,228.0,70.39,238.0,15.0,42.0,923.0,427.0,9990.0,9990.0,3822.0,,164.0,450.0,1540.0,38.0,10.4,61.0
Indiana Wesleyan University,IN,Indiana,Midwest,East North Central,private,735.0,423.0,312.0,57.55,366.0,20.0,48.0,2448.0,707.0,9210.0,9210.0,1558.0,2224.0,,700.0,1000.0,49.0,39.8,34.0
Oakland City College,IN,Indiana,Midwest,East North Central,private,495.0,465.0,30.0,93.94,275.0,18.0,35.0,695.0,193.0,7620.0,7260.0,998.0,1986.0,186.0,740.0,900.0,41.0,11.5,62.0
Purdue University at West Lafayette,IN,Indiana,Midwest,East North Central,public,21804.0,18744.0,3060.0,85.97,5874.0,29.0,60.0,26213.0,4065.0,2884.0,9556.0,,,,570.0,1060.0,86.0,18.2,67.0
Purdue University Calumet,IN,Indiana,Midwest,East North Central,public,,,,,,,,3831.0,4186.0,2374.0,5521.0,,,30.0,490.0,,,,
Rose-Hulman Institute of Technology,IN,Indiana,Midwest,East North Central,private,3320.0,1840.0,1480.0,55.42,381.0,73.0,93.0,1320.0,,13380.0,13380.0,2070.0,2136.0,120.0,600.0,600.0,91.0,13.6,97.0
Saint Francis College,IN,Indiana,Midwest,East North Central,private,213.0,166.0,47.0,77.93,85.0,13.0,36.0,513.0,247.0,8670.0,8670.0,3820.0,,80.0,450.0,1000.0,43.0,12.5,48.0
Saint Joseph's College,IN,Indiana,Midwest,East North Central,private,920.0,684.0,236.0,74.35,225.0,24.0,42.0,815.0,222.0,11200.0,11200.0,4250.0,,330.0,600.0,950.0,55.0,14.8,67.0
Calumet College of St. Joseph,IN,Indiana,Midwest,East North Central,private,225.0,203.0,22.0,90.22,176.0,13.0,24.0,470.0,627.0,3960.0,3960.0,,,25.0,,,37.0,10.6,
Saint Mary-of-the-Woods College,IN,Indiana,Midwest,East North Central,private,150.0,130.0,20.0,86.67,88.0,23.0,50.0,341.0,768.0,10300.0,10300.0,1590.0,2540.0,400.0,500.0,1700.0,44.0,10.2,75.0
Saint Mary's College,IN,Indiana,Midwest,East North Central,private,888.0,734.0,154.0,82.66,393.0,26.0,60.0,1433.0,27.0,12730.0,12730.0,2652.0,1862.0,901.0,500.0,1525.0,74.0,9.9,98.0
Saint Meinrad College,IN,Indiana,Midwest,East North Central,private,69.0,44.0,25.0,63.77,36.0,30.0,44.0,118.0,,6004.0,6004.0,,,76.0,400.0,2100.0,67.0,4.9,
Taylor University,IN,Indiana,Midwest,East North Central,private,1769.0,1092.0,677.0,61.73,437.0,41.0,80.0,1757.0,81.0,10965.0,10965.0,1900.0,2100.0,210.0,450.0,1250.0,60.0,14.2,98.0
Tri-State University,IN,Indiana,Midwest,East North Central,private,1262.0,1102.0,160.0,87.32,276.0,14.0,40.0,978.0,98.0,9456.0,9456.0,,,186.0,468.0,1323.0,53.0,12.8,65.0
University of Notre Dame,IN,Indiana,Midwest,East North Central,private,7700.0,3700.0,4000.0,48.05,1906.0,79.0,96.0,7671.0,30.0,16850.0,16850.0,4400.0,,147.0,600.0,1350.0,96.0,13.1,97.0
Valparaiso University,IN,Indiana,Midwest,East North Central,private,2075.0,1727.0,348.0,83.23,520.0,49.0,81.0,2501.0,198.0,11800.0,11800.0,1300.0,1960.0,450.0,500.0,800.0,87.0,14.2,95.0
Wabash College,IN,Indiana,Midwest,East North Central,private,800.0,623.0,177.0,77.88,256.0,41.0,76.0,801.0,5.0,12925.0,12925.0,1480.0,2715.0,250.0,500.0,635.0,78.0,9.9,72.0
Indiana State University,IN,Indiana,Midwest,East North Central,public,5659.0,4761.0,898.0,84.13,3147.0,10.0,31.0,8596.0,1949.0,2802.0,6892.0,,,,600.0,2500.0,72.0,16.6,40.0
Baker University,KS,Kansas,Midwest,West North Central,private,602.0,483.0,119.0,80.23,206.0,21.0,47.0,958.0,466.0,8620.0,8620.0,1900.0,2200.0,310.0,400.0,2250.0,58.0,11.0,65.0
Bethany College,KS,Kansas,Midwest,West North Central,private,878.0,816.0,62.0,92.94,200.0,16.0,41.0,706.0,62.0,8740.0,8740.0,1463.0,1900.0,105.0,550.0,1700.0,62.0,11.6,48.0
Bethel College,KS,Kansas,Midwest,West North Central,private,202.0,184.0,18.0,91.09,122.0,19.0,42.0,537.0,101.0,8540.0,8540.0,1960.0,1620.0,200.0,500.0,1400.0,61.0,8.8,56.0
Fort Hays State University,KS,Kansas,Midwest,West North Central,public,1363.0,1363.0,0.0,100.0,806.0,,33.0,3640.0,706.0,1734.0,4869.0,2950.0,,,500.0,,65.0,18.1,44.0
Friends University,KS,Kansas,Midwest,West North Central,private,358.0,276.0,82.0,77.09,172.0,5.0,24.0,838.0,122.0,8516.0,8516.0,,1910.0,115.0,650.0,,55.0,25.0,49.0
Pittsburg State University,KS,Kansas,Midwest,West North Central,public,1419.0,1313.0,106.0,92.53,813.0,11.0,30.0,4469.0,499.0,1778.0,5424.0,3000.0,,,300.0,2000.0,52.0,23.2,58.0
Emporia State University,KS,Kansas,Midwest,West North Central,public,1256.0,1256.0,0.0,100.0,853.0,43.0,79.0,3957.0,588.0,1729.0,5401.0,1512.0,1632.0,,450.0,1888.0,72.0,19.3,50.0
Kansas State University,KS,Kansas,Midwest,West North Central,public,5880.0,4075.0,1805.0,69.3,2833.0,25.0,55.0,14914.0,2246.0,1713.0,6995.0,3120.0,,403.0,600.0,2000.0,76.0,18.5,54.0
Kansas Wesleyan University,KS,Kansas,Midwest,West North Central,private,589.0,575.0,14.0,97.62,148.0,16.0,40.0,474.0,258.0,8400.0,8400.0,1850.0,1400.0,120.0,500.0,1400.0,63.0,12.4,68.0
McPherson College,KS,Kansas,Midwest,West North Central,private,420.0,293.0,127.0,69.76,93.0,11.0,32.0,336.0,80.0,7950.0,7950.0,1550.0,2200.0,260.0,600.0,2740.0,54.0,9.8,48.0
Ottawa University,KS,Kansas,Midwest,West North Central,private,607.0,388.0,219.0,63.92,236.0,8.0,19.0,538.0,36.0,7250.0,7250.0,1945.0,1300.0,,400.0,2730.0,47.0,14.5,46.0
Southwestern College,KS,Kansas,Midwest,West North Central,private,213.0,155.0,58.0,72.77,75.0,28.0,66.0,504.0,147.0,7200.0,7200.0,,,,550.0,1500.0,56.0,11.8,52.0
Saint Mary College,KS,Kansas,Midwest,West North Central,private,273.0,229.0,44.0,83.88,66.0,25.0,60.0,439.0,415.0,7800.0,7800.0,3820.0,,270.0,800.0,,50.0,8.2,53.0
Sterling College,KS,Kansas,Midwest,West North Central,private,479.0,373.0,106.0,77.87,127.0,20.0,43.0,631.0,133.0,8280.0,8280.0,,,100.0,500.0,,50.0,16.1,36.0
Tabor College,KS,Kansas,Midwest,West North Central,private,257.0,183.0,74.0,71.21,109.0,19.0,41.0,396.0,38.0,7850.0,7850.0,2010.0,1400.0,200.0,400.0,1500.0,55.0,10.0,53.0
University of Kansas,KS,Kansas,Midwest,West North Central,public,8579.0,5561.0,3018.0,64.82,3681.0,25.0,50.0,17880.0,1673.0,1650.0,6994.0,,,388.0,700.0,2681.0,88.0,13.7,57.0
Washburn University,KS,Kansas,Midwest,West North Central,public,1100.0,1078.0,22.0,98.0,560.0,,36.0,3157.0,2705.0,2790.0,4774.0,1410.0,1800.0,32.0,450.0,1000.0,82.0,13.8,53.0
Wichita State University,KS,Kansas,Midwest,West North Central,public,2901.0,2236.0,665.0,77.08,896.0,,39.0,6550.0,5083.0,1650.0,6994.0,,,465.0,450.0,350.0,82.0,20.4,32.0
MidAmerica Nazarene College,KS,Kansas,Midwest,West North Central,private,331.0,331.0,0.0,100.0,225.0,15.0,36.0,1100.0,166.0,6840.0,6840.0,,,472.0,1100.0,4913.0,33.0,15.4,49.0
Benedictine College,KS,Kansas,Midwest,West North Central,private,632.0,620.0,12.0,98.1,222.0,14.0,24.0,702.0,501.0,9550.0,9550.0,2250.0,1600.0,210.0,350.0,250.0,64.0,14.1,58.0
Alice Lloyd College,KY,Kentucky,South,East South Central,private,1174.0,607.0,567.0,51.7,289.0,20.0,45.0,555.0,24.0,,3800.0,1100.0,1380.0,300.0,500.0,800.0,56.0,19.4,31.0
Asbury College,KY,Kentucky,South,East South Central,private,643.0,509.0,134.0,79.16,280.0,26.0,56.0,1110.0,39.0,8988.0,8988.0,1226.0,1538.0,125.0,500.0,1600.0,61.0,12.1,
Bellarmine College,KY,Kentucky,South,East South Central,private,807.0,707.0,100.0,87.61,308.0,39.0,63.0,1198.0,605.0,8840.0,8840.0,1950.0,1000.0,100.0,750.0,1290.0,74.0,13.1,84.0
Berea College,KY,Kentucky,South,East South Central,private,1836.0,599.0,1237.0,32.63,455.0,35.0,60.0,1540.0,51.0,,,1355.0,1480.0,188.0,450.0,1027.0,77.0,13.2,57.0
Brescia College,KY,Kentucky,South,East South Central,private,307.0,260.0,47.0,84.69,99.0,17.0,42.0,452.0,249.0,7500.0,7500.0,3200.0,,,650.0,,49.0,10.1,56.0
Campbellsville College,KY,Kentucky,South,East South Central,private,848.0,587.0,261.0,69.22,298.0,25.0,55.0,935.0,184.0,6060.0,6060.0,1850.0,1220.0,,600.0,1300.0,62.0,17.7,49.0
Spalding University,KY,Kentucky,South,East South Central,private,283.0,201.0,82.0,71.02,97.0,10.0,45.0,589.0,263.0,8400.0,8400.0,,,96.0,600.0,900.0,50.0,10.6,89.0
Centre College,KY,Kentucky,South,East South Central,private,1013.0,888.0,125.0,87.66,288.0,55.0,82.0,943.0,7.0,11850.0,11850.0,2120.0,2150.0,350.0,600.0,900.0,95.0,11.4,74.0
Cumberland College,KY,Kentucky,South,East South Central,private,995.0,789.0,206.0,79.3,398.0,26.0,47.0,1306.0,122.0,6230.0,6230.0,3526.0,,32.0,400.0,600.0,42.0,13.0,63.0
Eastern Kentucky University,KY,Kentucky,South,East South Central,public,5443.0,5135.0,308.0,94.34,2445.0,,,11208.0,3350.0,1700.0,4700.0,1960.0,1236.0,,600.0,,82.0,19.8,39.0
Georgetown College,KY,Kentucky,South,East South Central,private,727.0,693.0,34.0,95.32,286.0,30.0,55.0,1063.0,48.0,8000.0,8100.0,1975.0,1975.0,50.0,550.0,550.0,73.0,13.3,55.0
Kentucky State University,KY,Kentucky,South,East South Central,public,1636.0,952.0,684.0,58.19,424.0,6.0,22.0,1544.0,896.0,1340.0,4120.0,1456.0,1226.0,100.0,510.0,,60.0,15.0,19.0
Kentucky Wesleyan College,KY,Kentucky,South,East South Central,private,584.0,497.0,87.0,85.1,175.0,20.0,49.0,662.0,121.0,8000.0,8000.0,2300.0,1850.0,200.0,500.0,1300.0,57.0,11.3,62.0
Lindsey Wilson College,KY,Kentucky,South,East South Central,private,1089.0,865.0,224.0,79.43,382.0,,,1006.0,164.0,6600.0,6600.0,1400.0,2150.0,80.0,400.0,500.0,32.0,19.3,
Morehead State University,KY,Kentucky,South,East South Central,public,2825.0,2495.0,330.0,88.32,1300.0,,,6311.0,975.0,1580.0,4740.0,,,320.0,500.0,1050.0,58.0,19.9,52.0
Murray State University,KY,Kentucky,South,East South Central,public,2225.0,1910.0,315.0,85.84,1190.0,29.0,55.0,5968.0,955.0,1580.0,4738.0,1290.0,1820.0,280.0,700.0,940.0,72.0,20.2,52.0
